4490737,1,1,3,"Arabic",1
1497635,1,1,2,"English",1
763471,1,1,2,"English",0
4140640,1,1,2,"English",1
1251491,1,1,20,"German",0
1621579,1,1,2,"English",1
4793948,1,1,2,"English",1
642099,1,1,2,"English",1
4542710,1,1,71,"Czech",1
1524320,1,1,2,"English",0
557695,1,1,2,"English",1
553939,1,1,50,"Spanish",1
1770061,1,1,2,"English",1
486252,1,1,50,"Spanish",1
4470142,1,1,47,"Russian",1
4241101,1,1,2,"English",1
965517,1,1,2,"English",1
918635,1,1,2,"English",1
3793172,1,1,28,"Italian",1
1391408,1,1,2,"English",1
1625608,1,1,45,"Portuguese",1
1520559,1,1,2,"English",0
1788017,1,1,2,"English",1
4076879,1,1,25,"Hebrew",0
4585386,1,1,2,"English",1
208608,1,1,19,"French",1
359598,1,1,2,"English",1
1258653,1,1,2,"English",1
1543311,1,1,59,"Vietnamese",1
1531883,1,1,2,"English",0
4097119,1,0,2,"English",1
43105,3,1,2,"English",1
118008,1,0,2,"English",1
4593438,1,0,20,"German",1
425382,1,0,2,"English",1
1779060,1,1,2,"English",1
157642,1,1,20,"German",0
74774,1,1,2,"English",1
4697614,1,1,59,"Vietnamese",1
1250300,1,1,2,"English",0
521097,1,1,2,"English",1
1504597,1,1,2,"English",0
4467252,1,1,2,"English",1
1519330,1,1,2,"English",0
1066517,1,1,2,"English",1
332793,1,1,2,"English",1
4686062,1,1,50,"Spanish",1
4568446,1,1,19,"French",1
4257326,1,0,2,"English",1
159622,1,1,2,"English",1
1804208,1,1,2,"English",1
1758005,1,1,50,"Spanish",1
1848744,1,1,4,"Armenian",1
4008995,1,1,2,"English",1
1733307,1,1,2,"English",1
1528271,1,1,2,"English",0
1256479,1,1,2,"English",1
4589923,1,1,50,"Spanish",0
2059405,1,1,2,"English",1
4010635,1,1,2,"English",1
1073106,1,1,2,"English",1
4775942,1,1,2,"English",1
4461918,1,1,2,"English",1
77562,1,1,50,"Spanish",0
179441,1,1,44,"Polish",0
1772890,1,1,50,"Spanish",0
441805,1,1,2,"English",1
360063,1,1,2,"English",1
891818,1,1,2,"English",1
1514130,1,1,2,"English",0
758305,1,1,2,"English",0
4582520,4,1,2,"English",1
1533285,1,1,2,"English",1
425226,1,1,50,"Spanish",1
1512896,1,1,2,"English",0
4694450,1,1,2,"English",1
4218974,1,1,2,"English",1
1944910,1,1,2,"English",1
4089542,1,1,2,"English",0
1648410,1,0,2,"English",1
1737255,1,1,2,"English",1
1911597,1,1,28,"Italian",1
1800342,1,1,2,"English",1
1914969,1,1,2,"English",1
1936056,1,1,2,"English",1
762382,1,1,3,"Arabic",1
1744412,1,1,2,"English",1
471059,1,1,2,"English",1
65206,1,1,50,"Spanish",1
4554159,1,1,2,"English",1
402314,1,1,20,"German",0
4562701,1,1,2,"English",1
4333074,1,1,2,"English",0
57741,1,1,50,"Spanish",1
65024,1,1,20,"German",1
4675500,1,1,2,"English",1
116415,1,1,43,"Persian",0
1278428,1,1,2,"English",1
1798909,1,1,2,"English",0
410709,1,1,20,"German",0
1384073,1,1,2,"English",1
914816,1,1,69,"Farsi",1
413315,1,1,45,"Portuguese",0
1505771,1,1,2,"English",0
3321938,1,1,2,"English",1
1511916,1,0,2,"English",0
79537,1,1,19,"French",0
907652,1,1,2,"English",1
1843775,1,1,2,"English",1
715093,1,1,50,"Spanish",1
4518119,1,1,2,"English",1
13259,1,1,2,"English",1
1479595,1,1,2,"English",1
1244796,1,1,2,"English",1
4614840,1,1,2,"English",1
82840,1,1,50,"Spanish",0
4771716,1,1,19,"French",1
1230680,1,1,2,"English",1
1275680,1,1,50,"Spanish",0
154131,1,1,50,"Spanish",1
965871,1,1,47,"Russian",1
1107253,1,1,47,"Russian",1
404968,1,1,2,"English",1
4643594,1,1,2,"English",0
1722371,1,1,2,"English",1
1511960,1,1,2,"English",0
402674,1,1,29,"Japanese",0
505645,1,1,2,"English",1
98487,1,1,50,"Spanish",0
1272580,1,1,50,"Spanish",1
4577175,1,1,50,"Spanish",1
94208,1,1,20,"German",0
858997,1,0,2,"English",1
2050470,1,1,2,"English",1
2793752,1,1,50,"Spanish",1
4356367,1,1,2,"English",0
1424784,1,1,2,"English",1
1935709,1,1,19,"French",0
4089392,1,1,2,"English",0
1495054,1,1,2,"English",1
1529309,1,1,2,"English",0
4536013,1,1,92,"Creole",1
290718,1,0,19,"French",1
1533808,1,1,2,"English",0
4644335,1,1,72,"Finnish",1
125130,1,1,50,"Spanish",1
269768,1,1,50,"Spanish",1
3342756,1,1,2,"English",1
1426533,1,0,2,"English",1
69400,1,1,19,"French",0
4558827,1,1,2,"English",1
1296481,1,1,2,"English",1
4500533,1,1,50,"Spanish",1
988419,1,0,2,"English",1
4562847,1,1,84,"Taiwanese",1
4583973,1,1,2,"English",1
77910,1,1,44,"Polish",0
309862,1,1,2,"English",1
4312106,1,1,2,"English",0
1235568,1,1,50,"Spanish",1
903060,1,1,2,"English",1
1287587,1,1,2,"English",1
1802515,1,1,2,"English",1
691927,1,1,66,"Swedish",1
1491097,1,1,2,"English",1
4643589,1,1,2,"English",0
4232771,1,1,2,"English",1
3413948,1,1,50,"Spanish",0
189849,1,1,29,"Japanese",0
1502878,1,1,50,"Spanish",0
4669697,1,1,50,"Spanish",1
1516217,1,1,2,"English",1
86292,1,1,26,"Hindi",1
34680,1,1,2,"English",1
587131,1,1,2,"English",1
4178908,1,1,2,"English",1
1512004,1,1,2,"English",0
1521219,1,1,2,"English",0
1519990,1,1,19,"French",1
4237319,1,1,20,"German",1
1527999,1,1,2,"English",0
65206,1,1,26,"Hindi",1
411354,1,1,19,"French",0
4568461,1,1,2,"English",1
4296534,1,1,50,"Spanish",1
4805133,1,1,13,"Mandarin",0
773998,1,1,17,"Cantonese",1
419240,1,1,2,"English",1
859493,1,1,2,"English",1
1249477,1,1,28,"Italian",1
4571735,1,1,2,"English",1
388630,1,1,50,"Spanish",0
4731456,1,1,50,"Spanish",0
4732044,1,1,2,"English",1
1123468,1,1,2,"English",1
1952105,1,1,50,"Spanish",1
1882537,1,1,2,"English",1
101095,1,1,50,"Spanish",0
410614,1,1,50,"Spanish",0
4514036,1,1,2,"English",1
4303419,1,1,2,"English",1
1531499,1,1,2,"English",0
4674434,1,1,2,"English",1
1580642,1,1,2,"English",1
1515789,1,1,2,"English",0
644997,1,1,50,"Spanish",1
157754,1,1,50,"Spanish",0
1605584,1,1,2,"English",1
1757917,1,0,2,"English",1
4073571,1,1,2,"English",0
851364,1,1,2,"English",1
174925,1,1,69,"Farsi",0
1804544,1,1,50,"Spanish",1
4241432,1,1,13,"Mandarin",0
1507068,1,1,2,"English",0
1281415,1,1,2,"English",1
1945556,1,1,50,"Spanish",1
4217497,1,1,2,"English",1
1234173,1,1,50,"Spanish",1
1751780,1,1,2,"English",1
4640827,1,1,50,"Spanish",1
4289055,1,1,2,"English",1
314084,1,1,2,"English",1
560094,1,1,2,"English",1
4674620,1,1,2,"English",1
